id,date,feedback_text,sentiment
1,2025-07-20,"Terrible service, waste of money.",negative
2,2025-09-24,Excellent service and quick response.,positive
3,2025-09-08,Excellent service and quick response.,positive
4,2025-10-09,The product is amazing! It works perfectly.,positive
5,2025-08-17,"Neutral review, it’s acceptable.",neutral
6,2025-08-05,Very bad experience. Not satisfied at all.,negative
7,2025-08-29,Average experience overall.,neutral
8,2025-08-03,Very bad experience. Not satisfied at all.,negative
9,2025-08-07,"Very happy with the purchase, thank you!",positive
10,2025-10-22,"Neutral review, it’s acceptable.",neutral
11,2025-10-04,Not happy with the quality.,negative
12,2025-05-03,"Very happy with the purchase, thank you!",positive
13,2025-07-18,Very bad experience. Not satisfied at all.,negative
14,2025-09-13,Very bad experience. Not satisfied at all.,negative
15,2025-07-18,"It works fine, nothing special.",neutral
16,2025-10-29,Average experience overall.,neutral
17,2025-07-14,"Neutral review, it’s acceptable.",neutral
18,2025-05-25,Loved it! Totally worth the money.,positive
19,2025-05-16,The product is amazing! It works perfectly.,positive
20,2025-10-30,"It works fine, nothing special.",neutral
21,2025-10-07,The product is amazing! It works perfectly.,positive
22,2025-08-05,Not happy with the quality.,negative
23,2025-05-11,Loved it! Totally worth the money.,positive
24,2025-08-01,"The product is okay, not bad.",neutral
25,2025-07-31,"Very happy with the purchase, thank you!",positive
26,2025-07-16,Average experience overall.,neutral
27,2025-06-20,"Great experience, will recommend to others.",positive
28,2025-05-30,"Very happy with the purchase, thank you!",positive
29,2025-08-23,"The product is okay, not bad.",neutral
30,2025-05-25,Very bad experience. Not satisfied at all.,negative
31,2025-08-28,Loved it! Totally worth the money.,positive
32,2025-10-13,Loved it! Totally worth the money.,positive
33,2025-06-11,Average experience overall.,neutral
34,2025-07-21,"It works fine, nothing special.",neutral
35,2025-05-30,Average experience overall.,neutral
36,2025-09-12,Excellent service and quick response.,positive
37,2025-07-06,"Very happy with the purchase, thank you!",positive
38,2025-06-08,The product is amazing! It works perfectly.,positive
39,2025-05-11,Average experience overall.,neutral
40,2025-06-09,The product is amazing! It works perfectly.,positive
41,2025-08-08,The product is amazing! It works perfectly.,positive
42,2025-05-22,Average experience overall.,neutral
43,2025-07-21,Excellent service and quick response.,positive
44,2025-07-23,"Great experience, will recommend to others.",positive
45,2025-06-16,The product is amazing! It works perfectly.,positive
46,2025-05-18,"Very happy with the purchase, thank you!",positive
47,2025-10-23,"Neutral review, it’s acceptable.",neutral
48,2025-08-10,"Terrible service, waste of money.",negative
49,2025-06-01,Product arrived damaged and late.,negative
50,2025-08-22,"Terrible service, waste of money.",negative
51,2025-05-11,Product arrived damaged and late.,negative
52,2025-10-15,Not happy with the quality.,negative
53,2025-09-03,"The product is okay, not bad.",neutral
54,2025-10-22,"Neutral review, it’s acceptable.",neutral
55,2025-09-03,Customer support was unhelpful.,negative
56,2025-05-26,Loved it! Totally worth the money.,positive
57,2025-07-05,The product is amazing! It works perfectly.,positive
58,2025-09-22,No major issues but can be better.,neutral
59,2025-05-03,The product is amazing! It works perfectly.,positive
60,2025-08-21,Customer support was unhelpful.,negative
61,2025-08-19,Loved it! Totally worth the money.,positive
62,2025-10-04,No major issues but can be better.,neutral
63,2025-06-07,"Terrible service, waste of money.",negative
64,2025-08-26,"Neutral review, it’s acceptable.",neutral
65,2025-09-29,Excellent service and quick response.,positive
66,2025-10-29,"It works fine, nothing special.",neutral
67,2025-09-23,Product arrived damaged and late.,negative
68,2025-05-21,Very bad experience. Not satisfied at all.,negative
69,2025-06-27,Customer support was unhelpful.,negative
70,2025-09-18,"Neutral review, it’s acceptable.",neutral
71,2025-05-26,Excellent service and quick response.,positive
72,2025-07-12,"Neutral review, it’s acceptable.",neutral
73,2025-09-22,Loved it! Totally worth the money.,positive
74,2025-10-03,"Very happy with the purchase, thank you!",positive
75,2025-05-16,"Very happy with the purchase, thank you!",positive
76,2025-06-17,Product arrived damaged and late.,negative
77,2025-09-11,No major issues but can be better.,neutral
78,2025-05-29,Average experience overall.,neutral
79,2025-10-20,Not happy with the quality.,negative
80,2025-07-25,"Terrible service, waste of money.",negative
81,2025-05-26,No major issues but can be better.,neutral
82,2025-07-24,Loved it! Totally worth the money.,positive
83,2025-05-06,Very bad experience. Not satisfied at all.,negative
84,2025-05-21,"Terrible service, waste of money.",negative
85,2025-05-06,Customer support was unhelpful.,negative
86,2025-05-09,Customer support was unhelpful.,negative
87,2025-09-22,The product is amazing! It works perfectly.,positive
88,2025-09-25,"Very happy with the purchase, thank you!",positive
89,2025-06-21,"Neutral review, it’s acceptable.",neutral
90,2025-07-20,Not happy with the quality.,negative
91,2025-06-12,"It works fine, nothing special.",neutral
92,2025-05-14,Very bad experience. Not satisfied at all.,negative
93,2025-05-11,"Great experience, will recommend to others.",positive
94,2025-05-12,"Great experience, will recommend to others.",positive
95,2025-06-01,No major issues but can be better.,neutral
96,2025-10-08,"It works fine, nothing special.",neutral
97,2025-10-28,Excellent service and quick response.,positive
98,2025-05-30,Customer support was unhelpful.,negative
99,2025-10-17,Customer support was unhelpful.,negative
100,2025-10-05,Not happy with the quality.,negative
101,2025-06-03,"Great experience, will recommend to others.",positive
102,2025-05-18,Excellent service and quick response.,positive
103,2025-07-04,"Neutral review, it’s acceptable.",neutral
104,2025-05-30,Not happy with the quality.,negative
105,2025-05-04,Not happy with the quality.,negative
106,2025-08-13,Customer support was unhelpful.,negative
107,2025-10-10,"Very happy with the purchase, thank you!",positive
108,2025-07-10,"Great experience, will recommend to others.",positive
109,2025-10-28,Loved it! Totally worth the money.,positive
110,2025-05-18,"Terrible service, waste of money.",negative
111,2025-09-14,"Great experience, will recommend to others.",positive
112,2025-07-09,"Great experience, will recommend to others.",positive
113,2025-10-21,Excellent service and quick response.,positive
114,2025-09-10,The product is amazing! It works perfectly.,positive
115,2025-07-28,"Neutral review, it’s acceptable.",neutral
116,2025-09-16,Excellent service and quick response.,positive
117,2025-08-23,No major issues but can be better.,neutral
118,2025-08-26,"Great experience, will recommend to others.",positive
119,2025-08-12,"Very happy with the purchase, thank you!",positive
120,2025-09-23,The product is amazing! It works perfectly.,positive
121,2025-08-08,Very bad experience. Not satisfied at all.,negative
122,2025-06-11,Excellent service and quick response.,positive
