id,date,feedback_text,sentiment,short_summary,detailed_summary
1,2025-07-20,"Terrible service, waste of money.",negative,"Terrible service, waste of money, wasting of money .","Terrible service, waste of money, wasting of money . service is a waste of time, wastes of money and waste of resources ."
2,2025-09-24,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
3,2025-09-08,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
4,2025-10-09,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
5,2025-08-17,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
6,2025-08-05,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
7,2025-08-29,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
8,2025-08-03,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
9,2025-08-07,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
10,2025-10-22,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
11,2025-10-04,Not happy with the quality.,negative,not happy with the quality of the service . the quality was excellent .,"not happy with the quality of the service . the quality is excellent - not happy - with the service of the staff . if you have any questions, please contact us at e-mail."
12,2025-05-03,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
13,2025-07-18,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
14,2025-09-13,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
15,2025-07-18,"It works fine, nothing special.",neutral,"it works fine, nothing special. It works fine and nothing special .","it works fine, nothing special. It works fine - nothing special - if you're looking for a better way to get to the top of the list."
16,2025-10-29,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
17,2025-07-14,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
18,2025-05-25,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
19,2025-05-16,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
20,2025-10-30,"It works fine, nothing special.",neutral,"it works fine, nothing special. It works fine and nothing special .","it works fine, nothing special. It works fine - nothing special - if you're looking for a better way to get to the top of the list."
21,2025-10-07,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
22,2025-08-05,Not happy with the quality.,negative,not happy with the quality of the service . the quality was excellent .,"not happy with the quality of the service . the quality is excellent - not happy - with the service of the staff . if you have any questions, please contact us at e-mail."
23,2025-05-11,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
24,2025-08-01,"The product is okay, not bad.",neutral,"the product is okay, not bad . it's not bad, but good .","the product is okay, not bad . it's not bad, but good . the product has a good reputation for being the best ."
25,2025-07-31,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
26,2025-07-16,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
27,2025-06-20,"Great experience, will recommend to others.",positive,"Great experience, will recommend to others . a great experience, great experience.","Great experience, will recommend to others . a great experience, a very enjoyable experience . the best part of the experience is that you will be able to enjoy the experience."
28,2025-05-30,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
29,2025-08-23,"The product is okay, not bad.",neutral,"the product is okay, not bad . it's not bad, but good .","the product is okay, not bad . it's not bad, but good . the product has a good reputation for being the best ."
30,2025-05-25,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
31,2025-08-28,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
32,2025-10-13,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
33,2025-06-11,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
34,2025-07-21,"It works fine, nothing special.",neutral,"it works fine, nothing special. It works fine and nothing special .","it works fine, nothing special. It works fine - nothing special - if you're looking for a better way to get to the top of the list."
35,2025-05-30,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
36,2025-09-12,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
37,2025-07-06,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
38,2025-06-08,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
39,2025-05-11,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
40,2025-06-09,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
41,2025-08-08,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
42,2025-05-22,Average experience overall.,neutral,average experience overall . average experience averaged in a year .,average experience overall . average experience averaged at a total of 0 compared to 0 average average . averaging experience per year.
43,2025-07-21,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
44,2025-07-23,"Great experience, will recommend to others.",positive,"Great experience, will recommend to others . a great experience, great experience.","Great experience, will recommend to others . a great experience, a very enjoyable experience . the best part of the experience is that you will be able to enjoy the experience."
45,2025-06-16,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
46,2025-05-18,"Very happy with the purchase, thank you!",positive,"very happy with the purchase, thank you . i am very pleased with it .","very happy with the purchase, thank you . i am very pleased with this purchase . the purchase was a pleasure to have ."
47,2025-10-23,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
48,2025-08-10,"Terrible service, waste of money.",negative,"Terrible service, waste of money, wasting of money .","Terrible service, waste of money, wasting of money . service is a waste of time, wastes of money and waste of resources ."
49,2025-06-01,Product arrived damaged and late.,negative,product arrived damaged and late . product arrived in good condition and was shipped to u.s.,product arrived damaged and late . product arrived in good condition and was shipped to the u.s. in january .
50,2025-08-22,"Terrible service, waste of money.",negative,"Terrible service, waste of money, wasting of money .","Terrible service, waste of money, wasting of money . service is a waste of time, wastes of money and waste of resources ."
51,2025-05-11,Product arrived damaged and late.,negative,product arrived damaged and late . product arrived in good condition and was shipped to u.s.,product arrived damaged and late . product arrived in good condition and was shipped to the u.s. in january .
52,2025-10-15,Not happy with the quality.,negative,not happy with the quality of the service . the quality was excellent .,"not happy with the quality of the service . the quality is excellent - not happy - with the service of the staff . if you have any questions, please contact us at e-mail."
53,2025-09-03,"The product is okay, not bad.",neutral,"the product is okay, not bad . it's not bad, but good .","the product is okay, not bad . it's not bad, but good . the product has a good reputation for being the best ."
54,2025-10-22,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
55,2025-09-03,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
56,2025-05-26,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
57,2025-07-05,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
58,2025-09-22,No major issues but can be better.,neutral,there are no major issues but can be better . no issues but a major issue .,"there are no major issues but can be better . no issues but a major issue can be a problem . if you are a big fan, you can get a good deal of money ."
59,2025-05-03,The product is amazing! It works perfectly.,positive,the product is amazing! It works perfectly! . . the .,the product is amazing! It works perfectly! . . The product is a great addition to your home & garden . it's easy to use.
60,2025-08-21,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
61,2025-08-19,Loved it! Totally worth the money.,positive,loved it! Totally worth the money! . i love it!,loved it! Totally worth the money! . i'm a big fan of this post - it's a great post .
62,2025-10-04,No major issues but can be better.,neutral,there are no major issues but can be better . no issues but a major issue .,"there are no major issues but can be better . no issues but a major issue can be a problem . if you are a big fan, you can get a good deal of money ."
63,2025-06-07,"Terrible service, waste of money.",negative,"Terrible service, waste of money, wasting of money .","Terrible service, waste of money, wasting of money . service is a waste of time, wastes of money and waste of resources ."
64,2025-08-26,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
65,2025-09-29,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
66,2025-10-29,"It works fine, nothing special.",neutral,"it works fine, nothing special. It works fine and nothing special .","it works fine, nothing special. It works fine - nothing special - if you're looking for a better way to get to the top of the list."
67,2025-09-23,Product arrived damaged and late.,negative,product arrived damaged and late . product arrived in good condition and was shipped to u.s.,product arrived damaged and late . product arrived in good condition and was shipped to the u.s. in january .
68,2025-05-21,Very bad experience. Not satisfied at all.,negative,a bad experience. not satisfied at all . not happy at all.,"a bad experience. not satisfied at all . not happy at all. a very bad experience, a poor experience and a good experience."
69,2025-06-27,Customer support was unhelpful.,negative,customer support was unhelpful . the customer support team was very friendly and helpful.,customer support was unhelpful . the customer support team was very friendly and helpful in all aspects of the customer service and customer support .
70,2025-09-18,"Neutral review, it’s acceptable.",neutral,"Neutral review, it's acceptable . review is based on a review of the u.s.","Neutral review, it's acceptable . review is based on a review of the u.s.-based system and a broader review ."
71,2025-05-26,Excellent service and quick response.,positive,excellent service and quick response . good service and excellent service .,excellent service and quick response . good service and excellent service . a quick response and a fast response - a great deal of money .
